package,old,new,delta
greta,0.5.0,NA,*
abind,1.4-8,1.4-8,
backports,1.5.0,1.5.0,
base64enc,0.1-3,0.1-3,
callr,3.7.6,3.7.6,
cli,3.6.5,3.6.5,
coda,0.19-4.1,0.19-4.1,
config,0.3.2,0.3.2,
crayon,1.5.3,1.5.3,
digest,0.6.37,0.6.37,
future,1.67.0,1.67.0,
globals,0.18.0,0.18.0,
glue,1.8.0,1.8.0,
here,1.0.1,1.0.1,
hms,1.1.3,1.1.3,
jsonlite,2.0.0,2.0.0,
lifecycle,1.0.4,1.0.4,
listenv,0.9.1,0.9.1,
magrittr,2.0.3,2.0.3,
parallelly,1.45.1,1.45.1,
pkgconfig,2.0.3,2.0.3,
png,0.1-8,0.1-8,
prettyunits,1.2.0,1.2.0,
processx,3.8.6,3.8.6,
progress,1.2.3,1.2.3,
ps,1.9.1,1.9.1,
R6,2.6.1,2.6.1,
rappdirs,0.3.3,0.3.3,
Rcpp,1.1.0,1.1.0,
RcppTOML,0.2.3,0.2.3,
reticulate,1.43.0,1.43.0,
rlang,1.1.6,1.1.6,
rprojroot,2.1.1,2.1.1,
rstudioapi,0.17.1,0.17.1,
tensorflow,2.20.0,2.20.0,
tfautograph,0.3.2,0.3.2,
tfruns,1.5.4,1.5.4,
tidyselect,1.2.1,1.2.1,
vctrs,0.6.5,0.6.5,
whisker,0.4.1,0.4.1,
withr,3.0.2,3.0.2,
yaml,2.3.10,2.3.10,
yesno,0.1.3,0.1.3,
